0,Linear Regression,Lasso,Ridge,Random Forest,Gradient Boost,Neural Network
ability,-28543.0,-4028.0,-10147.0,-1971.0,-917.0,3967.0
ability work,-32084.0,-3205.0,-13831.0,-11110.0,-6883.0,17127.0
able,2080973.0,5364.0,12466.0,-157.0,1.0,3928.0
action,7245.0,0.0,-732.0,-2508.0,-2255.0,8465.0
advance,0.0,0.0,0.0,0.0,0.0,0.0
algorithms,1630.0,0.0,-494.0,0.0,0.0,11658.0
analysis,5805.0,1950.0,6942.0,-29.0,1263.0,8315.0
analytical,15492.0,5728.0,15553.0,487.0,275.0,18371.0
analytics,-5676.0,0.0,-773.0,-257.0,390.0,5875.0
analyze,24306.0,9024.0,16984.0,-693.0,113.0,9472.0
application,13555.0,10565.0,9478.0,-941.0,-404.0,24414.0
applications,22020.0,0.0,10589.0,-587.0,-688.0,15947.0
apply,-27469.0,-18393.0,-20963.0,-1893.0,-1438.0,5153.0
approach,0.0,0.0,0.0,0.0,0.0,0.0
areas,2300.0,0.0,5283.0,-1112.0,-637.0,11083.0
assist,0.0,0.0,0.0,0.0,0.0,0.0
bachelor,35981.0,12740.0,13850.0,-259.0,184.0,14402.0
bachelor degree,30471.0,7628.0,18459.0,-219.0,-638.0,29486.0
background,-25011.0,-7972.0,-15334.0,39.0,-452.0,2508.0
base,0.0,0.0,0.0,0.0,0.0,0.0
benefit,0.0,0.0,0.0,0.0,0.0,0.0
best,17120.0,0.0,8224.0,-311.0,-25.0,4167.0
better,17291.0,13397.0,16275.0,-252.0,0.0,21751.0
big,55264.0,43155.0,39462.0,3585.0,6109.0,34775.0
brand,0.0,0.0,0.0,0.0,0.0,0.0
bring,0.0,0.0,0.0,0.0,0.0,0.0
build,7216.0,0.0,5898.0,209.0,1224.0,12881.0
business,-10723.0,-6951.0,-11568.0,2838.0,3020.0,1193.0
candidate,2827.0,0.0,3303.0,-485.0,59.0,13460.0
candidates,40591.0,14021.0,23320.0,237.0,429.0,22439.0
career,0.0,0.0,0.0,0.0,0.0,0.0
challenge,0.0,0.0,0.0,0.0,0.0,0.0
change,0.0,0.0,0.0,0.0,0.0,0.0
client,13924.0,0.0,9682.0,2324.0,778.0,22008.0
clients,12492.0,1526.0,11636.0,-1547.0,-1128.0,3522.0
closely,-11386.0,0.0,3032.0,-509.0,195.0,6169.0
cloud,10488.0,3169.0,9896.0,617.0,2249.0,20796.0
code,-413.0,0.0,1655.0,98.0,541.0,16723.0
collaborate,-17154.0,0.0,-1385.0,388.0,750.0,9609.0
come,0.0,0.0,0.0,0.0,0.0,0.0
commit,0.0,0.0,0.0,0.0,0.0,0.0
communicate,-15607.0,0.0,-9095.0,-158.0,-93.0,1566.0
communication,1200.0,0.0,-4237.0,13.0,-228.0,539.0
communication skills,-8438.0,-328.0,-9889.0,-463.0,1652.0,1433.0
community,2392.0,3817.0,5573.0,-1777.0,-1826.0,4576.0
company,-7312.0,0.0,-802.0,1653.0,591.0,15658.0
competitive,-37807.0,-5551.0,-19089.0,-382.0,-64.0,-2614.0
complex,43959.0,28895.0,30626.0,1907.0,2795.0,33961.0
computer,-5996.0,0.0,-9550.0,899.0,585.0,7577.0
computer science,1654.0,0.0,-1082.0,5377.0,6404.0,14502.0
core,-9850.0,0.0,-4287.0,3270.0,2224.0,8412.0
create,1379.0,0.0,-1739.0,2246.0,2939.0,13900.0
creative,-4464.0,0.0,-2285.0,287.0,855.0,5367.0
critical,37949.0,27907.0,30238.0,64.0,393.0,28358.0
culture,55444.0,20742.0,28351.0,1486.0,1929.0,17997.0
customer,-9607.0,-6830.0,-7207.0,-342.0,-268.0,1958.0
customers,-16797.0,-13199.0,-15634.0,1984.0,1128.0,2858.0
data,17191.0,2166.0,15939.0,1560.0,4427.0,10952.0
data science,1297.0,830.0,-409.0,3887.0,8631.0,12388.0
day,-37038.0,-31018.0,-27351.0,-4140.0,-431.0,-1738.0
decisions,6968.0,0.0,3414.0,-54.0,805.0,9983.0
deep,62960.0,82447.0,55615.0,2891.0,1602.0,44735.0
define,0.0,0.0,0.0,0.0,0.0,0.0
degree,22055.0,0.0,8791.0,3.0,-5.0,8959.0
deliver,5854.0,0.0,703.0,390.0,328.0,4616.0
demonstrate,0.0,0.0,0.0,0.0,0.0,0.0
description,12257.0,0.0,-1340.0,-60.0,-598.0,3254.0
design,76123.0,35307.0,38066.0,5091.0,5788.0,21379.0
desire,0.0,0.0,0.0,0.0,0.0,0.0
develop,14649.0,0.0,5591.0,603.0,944.0,5267.0
development,16679.0,16316.0,16489.0,1097.0,-15.0,18519.0
digital,-8974.0,0.0,-5453.0,-2511.0,-1988.0,2612.0
drive,47429.0,39556.0,33593.0,768.0,1912.0,24567.0
education,-7548.0,-7542.0,-10756.0,-8634.0,-3357.0,13266.0
effectively,57564.0,8551.0,24107.0,-148.0,-363.0,3096.0
employees,-14781.0,-5245.0,-11397.0,1219.0,921.0,3903.0
employer,23157.0,0.0,361.0,-878.0,-1190.0,11377.0
enable,0.0,0.0,0.0,0.0,0.0,0.0
engineer,37759.0,4117.0,15129.0,378.0,1143.0,21010.0
ensure,-17725.0,-3962.0,-8830.0,659.0,487.0,703.0
environment,13967.0,0.0,1050.0,-1146.0,-857.0,-712.0
equivalent,-302.0,0.0,-5994.0,574.0,-538.0,1323.0
excel,-7961.0,-683.0,-7389.0,-2452.0,-1940.0,969.0
excellent,8990.0,0.0,6021.0,-588.0,-73.0,10936.0
excite,0.0,0.0,0.0,0.0,0.0,0.0
execute,0.0,0.0,0.0,0.0,0.0,0.0
exist,0.0,0.0,0.0,0.0,0.0,0.0
experience work,-18785.0,0.0,-10149.0,-10261.0,-6589.0,23742.0
expertise,20274.0,19835.0,20576.0,-132.0,373.0,20247.0
feature,0.0,0.0,0.0,0.0,0.0,0.0
field,1833.0,0.0,990.0,-296.0,174.0,9520.0
financial,32895.0,16598.0,20116.0,-157.0,363.0,22871.0
focus,-12723.0,0.0,-7761.0,-545.0,286.0,2821.0
follow,0.0,0.0,0.0,0.0,0.0,0.0
function,0.0,0.0,0.0,0.0,0.0,0.0
future,41262.0,34936.0,32066.0,854.0,1205.0,26695.0
global,21621.0,3941.0,11458.0,2055.0,1419.0,19184.0
goals,-1608.0,0.0,-1740.0,-204.0,175.0,-342.0
great,-11342.0,-1640.0,-11093.0,326.0,-825.0,-707.0
group,24956.0,14477.0,20185.0,-297.0,141.0,16466.0
grow,0.0,0.0,0.0,0.0,0.0,0.0
growth,-1167.0,0.0,3110.0,346.0,-630.0,12599.0
health,-23331.0,-18356.0,-20295.0,-11949.0,-10750.0,8112.0
help,16856.0,0.0,2296.0,-1559.0,-1601.0,9443.0
high,-20297.0,-3658.0,-12419.0,-6850.0,-3987.0,26103.0
highly,4696.0,0.0,3244.0,-64.0,-752.0,12527.0
identify,-15269.0,-12182.0,-14650.0,-1375.0,-857.0,-2313.0
impact,22242.0,18287.0,21423.0,1083.0,1163.0,15129.0
implement,74601.0,39521.0,45128.0,550.0,322.0,17675.0
implementation,-7076.0,0.0,-1387.0,396.0,354.0,13113.0
improve,37858.0,18807.0,23434.0,159.0,407.0,18656.0
include,22328.0,5468.0,14235.0,-2141.0,-867.0,19827.0
industry,-705.0,0.0,-1301.0,-2916.0,-3556.0,316.0
information,-23047.0,-3261.0,-14666.0,-1812.0,-1526.0,10420.0
initiatives,-22875.0,-10253.0,-17334.0,410.0,-15.0,-1098.0
innovative,34047.0,15238.0,20837.0,122.0,362.0,14048.0
insights,-25911.0,-8602.0,-16298.0,77.0,-240.0,381.0
intelligence,-4250.0,0.0,-4442.0,1020.0,1461.0,9741.0
internal,13451.0,2679.0,8761.0,1000.0,503.0,9926.0
issue,0.0,0.0,0.0,0.0,0.0,0.0
java,-6021.0,0.0,-898.0,936.0,533.0,9150.0
job,-31460.0,-20112.0,-21431.0,-10141.0,-10765.0,25392.0
join,38802.0,0.0,11150.0,-190.0,666.0,10585.0
key,5241.0,0.0,-123.0,-125.0,360.0,791.0
know,0.0,0.0,0.0,0.0,0.0,0.0
knowledge,-9702.0,0.0,-5320.0,1685.0,1019.0,12420.0
language,34250.0,18229.0,22580.0,419.0,501.0,14611.0
languages,2960.0,0.0,483.0,0.0,111.0,6873.0
large,25778.0,3063.0,16141.0,-133.0,281.0,10826.0
lead,17898.0,8551.0,13552.0,518.0,1888.0,6841.0
leadership,38773.0,27412.0,30868.0,4017.0,5595.0,13125.0
learn,8409.0,0.0,5473.0,-422.0,-208.0,8664.0
level,50825.0,22105.0,28393.0,-1.0,-425.0,23235.0
leverage,0.0,0.0,0.0,0.0,0.0,0.0
life,10256.0,11947.0,14048.0,-4912.0,-3645.0,11909.0
like,-13629.0,0.0,-7501.0,193.0,-179.0,3747.0
look,0.0,0.0,0.0,0.0,0.0,0.0
love,0.0,0.0,0.0,0.0,0.0,0.0
machine,-64691.0,0.0,8090.0,1009.0,2355.0,14187.0
machine learn,-51339.0,0.0,9618.0,582.0,2239.0,19522.0
maintain,-23974.0,-15959.0,-17609.0,-1488.0,401.0,1591.0
manage,-4885.0,0.0,-1554.0,-52.0,232.0,6462.0
management,-25422.0,-10609.0,-15994.0,-197.0,407.0,-1715.0
manager,55113.0,33194.0,36604.0,1744.0,1161.0,34004.0
market,0.0,0.0,0.0,0.0,0.0,0.0
master,0.0,0.0,0.0,0.0,0.0,0.0
medical,21849.0,0.0,11663.0,-2783.0,-2287.0,25282.0
meet,-16525.0,-13468.0,-14840.0,-254.0,-921.0,-879.0
members,-10298.0,-6234.0,-8969.0,-923.0,-818.0,-1899.0
minimum,-13647.0,0.0,-7768.0,-1585.0,-2005.0,-1054.0
mission,29259.0,1946.0,14571.0,1223.0,1145.0,8217.0
model,0.0,0.0,0.0,0.0,0.0,0.0
multiple,-28873.0,-9744.0,-19535.0,-212.0,-222.0,-1616.0
need,9639.0,0.0,10258.0,-2840.0,-1234.0,8697.0
network,0.0,0.0,0.0,0.0,0.0,0.0
new,-45021.0,-21325.0,-28595.0,-4051.0,-5124.0,-451.0
offer,-25573.0,-21080.0,-22423.0,-13242.0,-5881.0,-2295.0
office,-11616.0,0.0,-5175.0,-4483.0,-332.0,2117.0
open,16058.0,4149.0,10115.0,1123.0,738.0,10044.0
operations,-13386.0,0.0,-5324.0,20.0,-137.0,3109.0
opportunities,-8800.0,-3303.0,-9410.0,-12088.0,-10877.0,-1324.0
optimize,0.0,0.0,0.0,0.0,0.0,0.0
organization,24155.0,8070.0,16098.0,1003.0,559.0,12092.0
partner,-4779.0,0.0,-1613.0,903.0,233.0,4368.0
passion,11712.0,0.0,7998.0,172.0,-236.0,6589.0
passionate,15169.0,598.0,9402.0,3826.0,4827.0,9006.0
people,32201.0,6393.0,15799.0,-275.0,-151.0,5264.0
perform,0.0,0.0,0.0,0.0,0.0,0.0
performance,5789.0,0.0,-323.0,-263.0,306.0,4369.0
plan,0.0,0.0,0.0,0.0,0.0,0.0
platform,11471.0,0.0,7708.0,2040.0,3359.0,11648.0
platforms,-13459.0,-175.0,-9022.0,-759.0,-310.0,-1147.0
plus,30462.0,13232.0,18754.0,426.0,-637.0,19600.0
position,-19938.0,-14822.0,-15577.0,-15158.0,-15696.0,8676.0
practice,0.0,0.0,0.0,0.0,0.0,0.0
prefer,0.0,0.0,0.0,0.0,0.0,0.0
problem,-27917.0,-8225.0,-15918.0,84.0,-468.0,-1564.0
problems,17256.0,0.0,6182.0,662.0,714.0,17380.0
process,-7922.0,3155.0,5504.0,1051.0,137.0,17421.0
product,26226.0,0.0,13188.0,477.0,836.0,10372.0
production,-9083.0,0.0,-2729.0,122.0,1445.0,5359.0
products,-8068.0,0.0,-6161.0,1639.0,984.0,4100.0
professional,-10673.0,-3206.0,-7953.0,-8253.0,-6905.0,5421.0
program,0.0,0.0,0.0,0.0,0.0,0.0
project,63628.0,42704.0,39387.0,1067.0,-28.0,23156.0
prove,0.0,0.0,0.0,0.0,0.0,0.0
provide,-10596.0,-8824.0,-12538.0,-760.0,-463.0,4148.0
python,-9647.0,0.0,-7685.0,1638.0,2261.0,14482.0
qualifications,-40134.0,-34477.0,-28928.0,-3319.0,-727.0,-2485.0
qualify,0.0,0.0,0.0,0.0,0.0,0.0
quality,23280.0,2290.0,13724.0,1290.0,3485.0,10086.0
quantitative,37888.0,12061.0,20416.0,1225.0,871.0,27716.0
record,119.0,0.0,3399.0,356.0,1208.0,378.0
regard,-4899.0,0.0,1399.0,0.0,415.0,10315.0
relate,0.0,0.0,0.0,0.0,0.0,0.0
relate field,1833.0,0.0,990.0,-296.0,174.0,9520.0
relationships,-27688.0,-15085.0,-18877.0,-2881.0,-954.0,-2511.0
relevant,22420.0,2821.0,12037.0,-59.0,210.0,3904.0
report,0.0,0.0,0.0,0.0,0.0,0.0
require,0.0,0.0,0.0,0.0,0.0,0.0
requirements,-22162.0,-11144.0,-13704.0,-276.0,-217.0,11638.0
research,25148.0,8425.0,14974.0,1734.0,710.0,11901.0
responsibilities,-20930.0,-3981.0,-13938.0,24.0,-134.0,-1504.0
responsible,175062.0,17269.0,20152.0,-376.0,-405.0,6425.0
result,0.0,0.0,0.0,0.0,0.0,0.0
review,0.0,0.0,0.0,0.0,0.0,0.0
role,87884.0,28616.0,36566.0,1202.0,1953.0,22746.0
scale,46859.0,43160.0,35837.0,3992.0,8165.0,33909.0
science,38583.0,0.0,11554.0,3289.0,4767.0,6277.0
seek,0.0,0.0,0.0,0.0,0.0,0.0
senior,30306.0,31985.0,25870.0,4739.0,6982.0,39499.0
serve,0.0,0.0,0.0,0.0,0.0,0.0
service,-23985.0,-17617.0,-17922.0,-1785.0,-1397.0,-1365.0
set,0.0,0.0,0.0,0.0,0.0,0.0
skills,-16750.0,-757.0,-9988.0,77.0,1516.0,2512.0
software,-11669.0,0.0,-3288.0,712.0,2092.0,6667.0
solutions,-33587.0,-9379.0,-17956.0,2496.0,2040.0,2121.0
solve,-12186.0,0.0,-4956.0,-250.0,181.0,769.0
source,0.0,0.0,0.0,0.0,0.0,0.0
sql,-8824.0,0.0,-3469.0,5186.0,8592.0,27307.0
stakeholders,-15056.0,0.0,-1661.0,991.0,349.0,7638.0
statistical,-33793.0,-11643.0,-20512.0,0.0,0.0,-1667.0
statistics,2003.0,0.0,1859.0,372.0,0.0,14010.0
strategic,29309.0,31793.0,29288.0,2485.0,5309.0,26621.0
strategy,64716.0,46101.0,43689.0,2084.0,2139.0,44151.0
strong,-29229.0,-22163.0,-20080.0,764.0,-104.0,-1080.0
structure,0.0,0.0,0.0,0.0,0.0,0.0
success,27005.0,0.0,8714.0,-1285.0,-451.0,1130.0
successful,-11924.0,0.0,-5762.0,58.0,-413.0,573.0
support,-2290.0,0.0,-634.0,1432.0,3695.0,687.0
systems,25614.0,17152.0,20140.0,11.0,1030.0,14482.0
team,15525.0,0.0,3852.0,8552.0,9051.0,19407.0
technical,24906.0,12500.0,19163.0,-140.0,317.0,9288.0
techniques,7372.0,0.0,4159.0,188.0,163.0,4804.0
technologies,20267.0,7632.0,14520.0,2099.0,3372.0,16913.0
technology,-12253.0,0.0,-7850.0,421.0,1541.0,11426.0
test,0.0,0.0,0.0,0.0,0.0,0.0
think,0.0,0.0,0.0,0.0,0.0,0.0
time,-35354.0,-28230.0,-25513.0,-3623.0,-1519.0,2007.0
tool,0.0,0.0,0.0,0.0,0.0,0.0
track,1162.0,0.0,636.0,509.0,154.0,19641.0
train,0.0,0.0,0.0,0.0,0.0,0.0
understand,4273.0,0.0,1247.0,-248.0,22.0,2559.0
use,-9887.0,0.0,-8172.0,-1036.0,-1141.0,1078.0
user,-15797.0,0.0,-8805.0,-198.0,-247.0,1568.0
users,-3981.0,0.0,-611.0,-100.0,447.0,9581.0
value,-8580.0,0.0,-5088.0,-1671.0,-192.0,1524.0
variety,-51163.0,0.0,2559.0,136.0,36.0,4085.0
various,-4928.0,0.0,-5171.0,-1903.0,-1324.0,-759.0
verbal,-14376.0,0.0,-2795.0,-1360.0,-608.0,2228.0
vision,64735.0,49526.0,46769.0,841.0,1967.0,30052.0
want,0.0,0.0,0.0,0.0,0.0,0.0
way,-14406.0,0.0,-8829.0,-1246.0,-1925.0,1219.0
web,811.0,0.0,3663.0,-305.0,-314.0,7830.0
work,-18785.0,0.0,-10149.0,-10261.0,-6589.0,23742.0
work closely,-17950.0,0.0,-2010.0,-10686.0,-6429.0,17197.0
world,38736.0,0.0,13171.0,1351.0,157.0,8906.0
write,0.0,0.0,0.0,0.0,0.0,0.0
years,46048.0,1141.0,21235.0,785.0,1653.0,9865.0
years experience,46048.0,1141.0,21235.0,785.0,1653.0,9865.0
